team_1,team_2,venue,pitch_type,weather,toss_winner,toss_decision_bat,team1_avg_runs_last5,team2_avg_runs_last5,team1_avg_wickets_taken_last5,team2_avg_wickets_taken_last5,team1_win_percentage_last10,team2_win_percentage_last10,team1_key_player_form,team2_key_player_form,Format,team1_win
Australia,Bangladesh,Mumbai,Batting,Cloudy,1,0,189.0,144.0,7,5,51,71,96.0,43.0,ODI,1
Afghanistan,Bangladesh,Sydney,Batting,Humid,1,1,178.0,147.0,9,5,78,86,39.0,94.0,ODI,1
Afghanistan,South Africa,Kolkata,Balanced,Humid,1,1,183.0,169.0,9,7,50,48,65.0,42.0,T20,1
Australia,Sri Lanka,Melbourne,Bowling,Clear,1,0,154.0,176.0,4,5,51,51,61.0,60.0,ODI,0
England,Pakistan,Melbourne,Balanced,Cloudy,1,0,165.0,193.0,9,6,35,42,99.0,52.0,T20,0
New Zealand,West Indies,Melbourne,Bowling,Cloudy,1,1,193.0,183.0,5,6,48,62,48.0,26.0,T20,1
South Africa,England,Dubai,Bowling,Humid,2,0,192.0,178.0,7,6,49,49,80.0,47.0,T20,1
Pakistan,Afghanistan,Chennai,Balanced,Cloudy,2,1,158.0,165.0,9,8,88,83,55.0,99.0,ODI,0
Australia,Pakistan,Kolkata,Balanced,Clear,2,1,189.0,172.0,8,8,89,57,99.0,22.0,T20,1
West Indies,India,London,Bowling,Rainy,1,0,186.0,147.0,7,6,62,46,20.0,50.0,ODI,1
Australia,India,Dubai,Batting,Humid,2,0,187.0,168.0,5,9,43,66,95.0,96.0,T20,1
Sri Lanka,South Africa,Dubai,Bowling,Humid,1,0,160.0,176.0,5,6,32,63,93.0,88.0,ODI,0
Afghanistan,England,Sydney,Batting,Cloudy,2,1,165.0,152.0,4,7,35,33,22.0,22.0,ODI,0
Pakistan,Bangladesh,Kolkata,Balanced,Humid,2,1,183.0,168.0,9,5,73,56,52.0,57.0,T20,1
Pakistan,Afghanistan,Sydney,Balanced,Humid,2,1,170.0,184.0,8,8,34,31,27.0,22.0,T20,0
Australia,West Indies,Dubai,Balanced,Clear,1,1,154.0,191.0,9,4,53,64,63.0,30.0,T20,0
Sri Lanka,Australia,Chennai,Balanced,Clear,1,0,158.0,181.0,5,6,36,85,32.0,41.0,ODI,0
Afghanistan,New Zealand,Dubai,Balanced,Rainy,2,0,155.0,164.0,8,5,48,31,81.0,81.0,ODI,1
Australia,Sri Lanka,Melbourne,Bowling,Clear,1,0,166.0,172.0,6,6,40,70,92.0,32.0,ODI,0
England,Pakistan,Melbourne,Batting,Humid,1,0,153.0,158.0,7,5,66,74,97.0,37.0,ODI,1
South Africa,Australia,Mumbai,Balanced,Humid,2,1,144.0,148.0,6,6,75,51,81.0,59.0,ODI,1
West Indies,India,London,Bowling,Rainy,2,1,193.0,161.0,6,4,81,32,20.0,29.0,T20,1
New Zealand,South Africa,Kolkata,Balanced,Clear,2,1,174.0,142.0,8,8,68,54,64.0,36.0,ODI,1
Sri Lanka,Afghanistan,Chennai,Batting,Clear,1,1,168.0,175.0,7,7,74,86,95.0,68.0,T20,1
South Africa,Sri Lanka,Delhi,Bowling,Cloudy,1,1,176.0,151.0,5,6,54,59,50.0,61.0,ODI,1
New Zealand,England,Delhi,Bowling,Humid,2,0,168.0,160.0,7,9,64,39,81.0,79.0,ODI,1
New Zealand,Bangladesh,Bengaluru,Batting,Rainy,1,1,191.0,187.0,5,9,51,44,67.0,78.0,T20,1
Sri Lanka,New Zealand,Bengaluru,Batting,Clear,2,1,155.0,186.0,7,5,67,88,96.0,72.0,T20,0
Pakistan,England,Delhi,Batting,Humid,1,1,181.0,173.0,8,7,44,39,48.0,74.0,T20,1
West Indies,Sri Lanka,Dubai,Batting,Cloudy,1,0,170.0,163.0,4,7,33,54,73.0,46.0,T20,1
Sri Lanka,Afghanistan,Johannesburg,Batting,Clear,1,0,144.0,197.0,8,6,44,78,65.0,70.0,T20,0
India,Sri Lanka,Dubai,Batting,Cloudy,2,0,172.0,193.0,8,8,36,85,24.0,64.0,T20,0
Afghanistan,Australia,Melbourne,Bowling,Cloudy,2,1,199.0,186.0,9,4,79,65,35.0,28.0,T20,1
South Africa,Sri Lanka,Kolkata,Batting,Clear,1,1,178.0,178.0,9,5,36,76,82.0,91.0,T20,0
West Indies,Pakistan,Sydney,Bowling,Clear,2,1,193.0,152.0,4,8,61,69,50.0,78.0,T20,1
Sri Lanka,New Zealand,Mumbai,Batting,Clear,1,1,181.0,154.0,4,5,81,64,55.0,22.0,ODI,1
West Indies,Australia,Delhi,Balanced,Humid,2,1,188.0,172.0,7,8,57,72,59.0,68.0,T20,1
Sri Lanka,England,London,Balanced,Cloudy,2,1,144.0,187.0,7,4,83,55,61.0,38.0,ODI,0
Afghanistan,West Indies,Johannesburg,Balanced,Humid,1,0,177.0,158.0,5,6,78,74,72.0,36.0,ODI,1
West Indies,Bangladesh,London,Balanced,Clear,1,1,198.0,195.0,6,8,47,76,57.0,81.0,T20,0
Bangladesh,England,Melbourne,Bowling,Clear,2,1,167.0,195.0,7,6,62,78,73.0,88.0,T20,0
New Zealand,Australia,Melbourne,Balanced,Rainy,1,1,141.0,162.0,5,4,89,53,92.0,59.0,ODI,1
India,Bangladesh,Bengaluru,Bowling,Rainy,1,1,190.0,185.0,6,4,35,69,67.0,51.0,T20,0
England,India,Mumbai,Batting,Rainy,2,1,172.0,189.0,8,9,65,42,45.0,43.0,T20,1
New Zealand,Australia,Melbourne,Balanced,Rainy,2,0,142.0,151.0,8,7,38,35,24.0,81.0,ODI,0
India,Australia,Delhi,Batting,Cloudy,1,1,170.0,196.0,7,8,31,49,91.0,31.0,T20,0
Pakistan,England,Chennai,Balanced,Rainy,2,1,158.0,177.0,8,8,30,32,74.0,71.0,ODI,0
Australia,Afghanistan,Melbourne,Balanced,Cloudy,1,0,153.0,152.0,8,8,42,30,42.0,32.0,ODI,1
Afghanistan,Pakistan,Mumbai,Batting,Cloudy,1,1,163.0,193.0,5,9,51,62,35.0,54.0,T20,0
England,Sri Lanka,Dubai,Batting,Rainy,2,0,140.0,176.0,7,8,57,82,89.0,22.0,ODI,0
Australia,Pakistan,Sydney,Bowling,Cloudy,1,1,176.0,141.0,8,6,66,35,86.0,22.0,ODI,1
Pakistan,New Zealand,Mumbai,Balanced,Cloudy,1,1,196.0,186.0,7,6,63,34,23.0,52.0,T20,1
England,New Zealand,Sydney,Bowling,Rainy,2,0,169.0,150.0,8,5,30,88,32.0,48.0,ODI,0
Afghanistan,Australia,Chennai,Balanced,Clear,2,1,155.0,199.0,6,9,65,55,93.0,97.0,T20,0
New Zealand,Australia,Dubai,Balanced,Humid,2,1,198.0,181.0,7,7,74,47,50.0,80.0,T20,1
Pakistan,Australia,Johannesburg,Balanced,Rainy,2,0,193.0,154.0,7,5,41,69,52.0,22.0,T20,1
New Zealand,South Africa,Melbourne,Bowling,Clear,2,0,163.0,197.0,8,8,70,63,78.0,48.0,T20,0
India,South Africa,Johannesburg,Batting,Clear,1,1,160.0,142.0,6,8,75,32,20.0,40.0,ODI,1
New Zealand,India,Dubai,Balanced,Clear,1,1,154.0,181.0,6,7,49,56,56.0,83.0,ODI,0
India,England,Melbourne,Batting,Humid,2,1,194.0,147.0,6,4,81,53,97.0,68.0,T20,1
Sri Lanka,England,Melbourne,Bowling,Clear,1,0,196.0,169.0,7,5,30,81,20.0,52.0,T20,1
Afghanistan,Sri Lanka,Bengaluru,Batting,Clear,2,0,166.0,159.0,6,4,86,54,20.0,45.0,ODI,1
West Indies,India,Melbourne,Bowling,Rainy,2,1,194.0,181.0,8,8,53,63,44.0,76.0,T20,0
England,South Africa,Chennai,Bowling,Humid,2,0,151.0,184.0,8,4,76,42,40.0,38.0,ODI,0
England,Bangladesh,London,Batting,Cloudy,1,1,180.0,185.0,7,8,31,59,64.0,53.0,T20,0
Bangladesh,South Africa,Melbourne,Bowling,Clear,2,1,150.0,172.0,8,5,88,34,93.0,21.0,ODI,1
India,Pakistan,Kolkata,Bowling,Rainy,1,0,177.0,169.0,4,7,66,51,72.0,70.0,ODI,1
South Africa,New Zealand,Kolkata,Balanced,Cloudy,1,1,192.0,186.0,5,8,31,57,27.0,59.0,T20,0
Australia,Bangladesh,Kolkata,Balanced,Humid,1,0,188.0,143.0,8,7,67,38,63.0,80.0,ODI,1
New Zealand,Australia,London,Balanced,Rainy,1,1,170.0,146.0,5,7,53,74,24.0,83.0,ODI,0
England,India,Mumbai,Batting,Clear,1,0,176.0,145.0,9,5,58,52,88.0,51.0,ODI,1
Afghanistan,India,Mumbai,Bowling,Clear,1,0,181.0,151.0,7,4,72,71,63.0,92.0,ODI,1
